Deal Stage <DEAL dealstage>,Pipeline <DEAL pipeline>,Deal Name <DEAL dealname>,Amount <DEAL amount>,Close Date <DEAL closedate>,Company name <COMPANY name>,Company Domain Name <COMPANY domain>,Note body <NOTE hs_note_body>,Activity date <NOTE hs_timestamp>
closedwon,default,Northstar Logistics - Hiring Assessment Suite,54000,01/12/2024,Northstar Logistics,northstarlogistics.com,"Discovery call with Sarah Mitchell VP of Talent Acquisition. They are currently comparing us with HackerRank but our broader assessment coverage beyond coding was a strong differentiator. Budget pre-approved at 60K. Strong champion in Sarah.",12/01/2023
closedwon,default,Northstar Logistics - Hiring Assessment Suite,54000,01/12/2024,Northstar Logistics,northstarlogistics.com,"Deal closed at 54K with volume discount negotiated. Sarah championed internally to the CHRO. Customer reference from Crestview Financial helped seal the deal. Excellent win.",01/10/2024
closedlost,default,BlueRidge Capital - Talent Screening Tool,31000,01/25/2024,BlueRidge Capital,blueridgecapital.com,"Lost to HackerRank. Prospect said our platform is too broad and overkill for their team. They only need coding assessments. Pricing per candidate was 2x what they currently pay. Tried discounting but could not match HackerRank price.",01/20/2024
closedwon,default,Meridian Healthcare - Interview Automation,97000,02/08/2024,Meridian Healthcare,meridianhealth.com,"Strong demo. CHRO personally attended. They require native Workday integration and our Workday connector satisfied the requirement. No competitor in the mix. Implementation timeline was a concern but resolved.",01/15/2024
closedwon,default,Meridian Healthcare - Interview Automation,97000,02/08/2024,Meridian Healthcare,meridianhealth.com,"Contract signed. They initially worried about AI bias in assessments but our third-party fairness audit resolved the concern. Budget approved by CFO. Smooth close.",02/05/2024
closedlost,default,Oakwood Retail Group - Skills Evaluation,43000,02/19/2024,Oakwood Retail Group,oakwoodretail.com,"Deal lost. New VP of TA joined last month and wants to re-evaluate all vendors. Previous champion Raj left the company. Deal put on hold indefinitely. No timeline for revisit. Champion risk was the critical issue.",02/15/2024
closedwon,default,Crestview Financial - Workforce Analytics,138000,03/04/2024,Crestview Financial,crestviewfinancial.com,"Executive sponsor is the CHRO. They evaluated Eightfold AI but found our skills intelligence layer more comprehensive for their needs. Budget was pre-allocated for their skills transformation initiative.",01/20/2024
closedwon,default,Crestview Financial - Workforce Analytics,138000,03/04/2024,Crestview Financial,crestviewfinancial.com,"Pricing discussion completed. Prospect pushed for 20% discount on 3-year deal. We agreed to 15% off. Strong ROI case helped with projected savings on bad hires annually. Deal closed.",03/01/2024
closedlost,default,Pinnacle Software - Coding Assessment,26000,03/15/2024,Pinnacle Software,pinnaclesoftware.io,"Lost to Codility. They only need developer coding tests and have no interest in the full platform. Codility offered free proctoring bundled in. We could not compete on price for a point solution. Requirement mismatch.",03/10/2024
closedwon,default,Harborview Bank - Full Talent Platform,225000,03/28/2024,Harborview Bank,harborviewbank.com,"Largest deal this quarter. Evaluating full platform for 5000 annual hires. Competing with HireVue for video interview and Mercer Mettl for assessments. Our bundled platform approach is the key differentiator versus managing two vendors.",02/05/2024
closedwon,default,Harborview Bank - Full Talent Platform,225000,03/28/2024,Harborview Bank,harborviewbank.com,"Security review passed. SOC2 and GDPR compliance satisfied InfoSec team. SSO via Azure AD integration works natively. Moving to contract. Strong executive sponsor from day one.",03/20/2024
closedwon,default,Redwood Consulting - Skills Gap Analysis,61000,04/06/2024,Redwood Consulting,redwoodconsulting.com,"Referral from Harborview Bank. Almost no sales cycle needed as champion already sold internally. Closed in 3 weeks. Best source for deals is clearly customer referral.",03/18/2024
closedlost,default,Summit Energy Corp - Recruitment Suite,88000,04/17/2024,Summit Energy Corp,summitenergy.com,"Budget freeze announced company-wide. Hiring is on hold due to business conditions. Deal paused with no timeline. Champion VP of HR is supportive but cannot move forward without budget approval. Will revisit Q3.",04/10/2024
closedwon,default,Clearwater Insurance - AI Interviewer,49000,04/29/2024,Clearwater Insurance,clearwaterinsurance.com,"Prospect raised concern about AI bias in hiring assessments during legal review. Shared our independent fairness audit and bias testing report. Concern fully resolved. Champion is Head of Talent who pushed this through procurement.",04/15/2024
closedlost,default,Irongate Manufacturing - Workforce Planning,165000,05/10/2024,Irongate Manufacturing,irongatecorp.com,"Complex procurement process delayed deal by 8 weeks. Meanwhile their HCM vendor SAP SuccessFactors released a bundled skills module. Prospect decided to use that instead at no additional cost. Hard to compete with bundled pricing.",04/01/2024
closedlost,default,Irongate Manufacturing - Workforce Planning,165000,05/10/2024,Irongate Manufacturing,irongatecorp.com,"Follow up confirmed loss. SAP bundle covers 70 percent of requirements. Champion tried to fight for us but CFO overruled citing cost. Will revisit if SAP module proves inadequate in 12 months.",05/08/2024
closedwon,default,Solaris Tech - Developer Hiring Platform,37000,05/22/2024,Solaris Tech,solaristech.io,"Fast close in 4 weeks. VP Engineering championed internally. They specifically wanted AI-powered coding simulations and our platform was the only one offering that. TestGorilla was the other option but our enterprise security compliance was the differentiator.",05/01/2024
closedlost,default,Falcon Aerospace - Technical Assessment,72000,06/03/2024,Falcon Aerospace,falconaerospace.com,"Need deeper Greenhouse ATS integration than we currently offer. Entire hiring workflow is built on Greenhouse and they need bi-directional sync with write-back capability. Our current Greenhouse integration is read-only. Clear product gap. Will revisit when roadmap delivers.",05/20/2024
closedwon,default,Cornerstone Media - Talent Intelligence,115000,05/30/2024,Cornerstone Media,cornerstonemedia.com,"Referral from Solaris Tech. Champion is Head of L&D who used iMocha at a previous company. Strong internal advocacy from day one. Very short evaluation cycle.",04/25/2024
closedwon,default,Cornerstone Media - Talent Intelligence,115000,05/30/2024,Cornerstone Media,cornerstonemedia.com,"Procurement pushed hard for 25% discount. We offered 12% on 2-year commitment. CHRO stepped in and approved. Pricing negotiation was the only friction in an otherwise smooth deal.",05/28/2024
closedwon,default,Waverly Pharma - Skills Benchmarking,83000,06/14/2024,Waverly Pharma,waverlypharma.com,"Inbound lead from content. Champion is Director of L&D. They had been evaluating Eightfold AI for skills intelligence but found our benchmarking depth more compelling for pharma-specific roles. No budget concerns raised.",05/10/2024
closedlost,default,Granite Construction - Hiring Automation,58000,06/25/2024,Granite Construction,graniteconstruction.com,"Lost. Prospect said implementation timeline of 8 weeks is too long for their urgent hiring need. They went with a simpler point solution that could go live in 2 weeks. We could not compress our implementation without risking quality.",06/15/2024
closedwon,default,Sapphire Ventures - Recruiter Copilot,44000,07/08/2024,Sapphire Ventures,sapphirevc.com,"Outbound SDR sourced deal. Fast-growing VC-backed company scaling from 80 to 200 employees. Champion is VP People who previously used us at prior company. No competitive evaluation. Closed quickly.",06/10/2024
closedlost,default,Boulderstone Shipping - Assessment Platform,196000,07/19/2024,Boulderstone Shipping,boulderstoneship.com,"Enterprise deal lost. Integration gap with their custom HRIS was the core issue. Their IT team said our API rate limits are a problem for high-volume use case of 15000 hires per year. We could not commit to the API throughput they needed.",07/01/2024
closedwon,default,Cobalt Systems - Full Talent Platform,288000,08/05/2024,Cobalt Systems,cobaltsystems.com,"Largest deal of Q3. Competed against HireVue and Mercer Mettl. Won on strength of full platform value versus managing multiple point solutions. CFO approved after ROI analysis showed 3x return in year one. Strong champion at VP level.",07/01/2024
